stage,trial,time,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w,event
0,1,0,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,TrialStart
0,1,0,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,BallSpawn
0,1,0,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.001,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.002,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.003,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.004,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.005,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.006,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.007,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.008,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.009,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.01,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.011,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.012,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.013,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.014,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.015,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.016,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.017,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.018,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.019,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.02,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.021,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.022,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.023,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.024,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.025,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.026,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.027,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.028,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.029,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.03,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.031,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.032,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.033,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.034,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.035,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.036,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.037,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.038,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.039,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.04,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.041,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.042,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.043,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.044,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.045,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.046,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.047,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.048,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.049,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.05,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.051,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.052,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.053,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.054,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.055,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.056,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.057,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.058,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.059,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.06,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.061,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.062,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.063,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.064,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.065,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.066,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.067,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.068,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.069,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.07,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.071,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.072,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.073,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.074,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.075,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.076,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.077,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.078,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.079,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.08,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.081,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.082,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.083,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.084,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.085,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.086,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.087,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.088,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.089,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.09,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.091,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.092,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.093,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.094,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.095,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.096,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.097,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.098,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.099,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.1,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.101,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.102,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.103,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.104,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.105,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.106,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.107,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.108,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.109,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
0,1,0.11,-0.005583502,-0.0200121,-0.03028659,0.05735869,-0.6900541,-0.5336593,-0.485534,
